®É¶¡,¬R·ç2,¬R·ç3,¦V®¼2,¦V®¼3,²±µx1,²±µx2,ºû­Û1,ºû­Û2,¹F¯§3,¹F¯§1,«³ºú2,«³ºú3,®a¥Ý1,®a¥Ý2,°·øÊ2,°·øÊ3,´­·y2,´­·y3,Ãh¦w1,Ãh¦w2,¶i³Ç1,¶i³Ç2,¼sÁ¾1,¼sÁ¾2
0.02,696.188318,681.482284,716.714397,705.27979,645.430226,729.271064,732.080643,737.092797,657.230506,681.198035,471.030579,494.577104,781.016978,810.128005,800.227299,824.162988,633.466801,609.129994,824.174747,847.847914,1012.703391,1004.65932,772.334622,747.594572
0.021,690.306649,678.304685,714.008989,700.345298,639.997131,725.602441,729.052656,732.944322,653.098238,677.222729,466.883445,490.910319,780.064295,810.442917,799.431078,824.004704,632.509118,604.990895,822.583464,847.050704,1011.430827,1004.18364,770.581579,745.050935
0.022,687.12524,675.123775,708.911693,697.645739,635.847314,723.694761,726.820558,729.594418,648.010305,673.40637,461.937226,489.155389,778.473344,810.287774,797.365937,823.528196,630.919329,601.167335,820.67876,846.892253,1010.797028,1004.341922,770.264353,743.937486
0.023,682.200229,671.782592,706.365231,695.097603,628.663978,723.532137,722.520508,724.328138,643.084132,667.843255,456.670946,484.850817,777.204421,810.129491,795.140691,822.733798,628.533138,595.591031,818.768592,846.416407,1011.431157,1003.549343,768.037954,743.620589
0.024,676.474525,667.649827,702.860407,692.23441,623.881061,719.22137,718.375379,720.494207,638.953354,663.709998,453.006166,481.980931,774.975866,809.811429,792.757327,821.461068,627.733225,591.122659,818.132974,845.619859,1009.684735,1001.799775,768.19756,739.327057
0.025,671.706801,661.609705,699.51587,689.204418,618.615277,716.350142,714.867042,713.945312,634.659655,659.417461,447.74189,477.507706,772.907414,809.333925,792.757989,820.190989,625.980813,584.748115,814.635828,845.777811,1010.005275,1001.164654,764.379876,738.214272
0.026,665.824306,658.269847,697.450917,686.022339,613.827507,715.081094,709.923673,708.370847,630.0517,654.488641,441.834475,473.367762,770.844261,807.585354,791.486252,817.642225,623.265366,579.966706,814.953718,844.82513,1009.528768,999.097197,764.2206,734.399728
0.027,659.463819,654.773197,692.508391,682.841767,606.643673,712.844142,704.658402,702.304819,626.557038,649.40286,437.206314,470.181989,768.776473,807.268618,788.781023,818.44093,620.719898,574.397094,812.73046,844.030402,1007.460485,999.099682,763.585478,732.808944
0.028,652.470021,649.209416,689.487097,679.980926,601.220783,708.857959,698.765714,696.712778,620.356979,644.15615,433.538519,466.185436,766.712985,806.78979,787.033275,817.169362,620.567811,567.699308,811.298457,844.030236,1007.780029,997.668998,761.360732,730.902251
0.029,647.222812,644.758258,686.302003,675.686227,595.632255,706.465407,693.825525,691.606951,616.22438,640.815138,427.790547,461.887224,764.645198,806.313284,784.808198,816.21436,617.376687,562.281784,808.914099,843.709862,1007.621086,996.556708,759.452551,730.106863
0.03,640.866453,640.307765,681.846353,674.890669,588.766147,703.27546,690.310828,685.220679,613.043801,634.775682,422.207385,456.944683,761.783337,806.314276,784.171088,815.419961,615.630305,556.551388,808.120033,843.551909,1007.463134,996.397595,756.748976,727.244011
0.031,632.757223,633.62921,677.695873,670.597809,583.498856,699.925059,685.685515,678.35742,608.754077,630.32536,418.854964,452.469785,761.307992,804.568351,781.787062,814.625232,614.036507,549.057689,806.369307,842.438625,1006.506808,997.035036,755.793977,725.97426
0.032,624.809255,629.020432,673.715885,667.736802,577.277062,697.849057,681.066563,671.333029,604.780423,623.647473,412.465859,449.922478,757.811507,803.932067,777.813575,814.30651,612.444879,542.837237,803.988095,842.597574,1005.397167,995.924729,754.365781,724.066248
0.033,619.404587,624.251053,670.850024,664.389416,570.889796,694.817724,674.046695,664.308307,600.011707,619.513216,407.204267,444.979772,755.429134,802.183496,777.496675,812.875003,610.052494,534.718978,802.39764,839.892344,1006.033279,995.128676,753.093384,723.907632
0.034,611.613742,617.575808,668.143606,661.202151,564.346086,690.353527,668.620971,657.128151,595.719829,613.471775,402.25654,438.754466,753.201735,802.659504,774.953372,811.922487,608.775411,528.021523,800.170904,841.166397,1004.762209,993.697993,749.277519,722.31668
0.035,603.507821,611.534859,663.52684,659.613373,559.234394,688.752358,662.244754,651.381348,591.74717,607.907833,395.553221,436.528231,748.591308,799.798971,772.885083,810.491804,605.116329,523.081002,798.582105,840.213217,1003.64942,993.378942,747.689879,720.566123
0.036,597.149145,604.69951,660.027367,655.796008,552.051571,683.648204,656.186593,641.32796,589.046409,602.81957,388.85459,431.743641,747.479182,798.528559,768.910934,809.216925,604.162323,514.157312,796.833201,838.780714,1004.764859,991.949589,745.464963,719.136765
0.037,588.565723,598.499615,655.561679,652.29554,544.867058,681.414433,650.437793,634.458837,583.481141,596.938069,384.709958,426.962729,746.049329,798.686183,768.594365,808.74257,601.924874,507.305931,794.290395,837.826379,1003.650746,992.427915,742.603106,716.911517
0.038,577.91418,593.094946,652.383111,649.591127,538.326197,677.422385,644.695173,625.045422,579.347048,590.101728,378.640418,420.897876,743.190449,797.89377,765.573401,808.740753,598.587361,499.017014,791.908354,838.462,1003.015292,991.633016,741.332858,716.276065
0.039,571.396559,586.896044,647.601536,644.814918,532.093355,673.432856,637.997883,616.906407,574.738606,586.286525,372.581248,418.66712,740.964045,795.35063,763.189539,805.880383,596.355263,492.324744,789.680954,837.030987,1002.064429,990.840274,738.791543,715.162116
0.04,561.541403,580.540347,642.509607,640.833588,524.588283,670.241235,630.819748,607.323164,570.446064,578.496675,368.268641,411.973177,737.467066,794.869817,761.121748,805.085158,593.489568,485.633815,787.456206,836.078142,1001.268873,990.99872,735.771068,713.414537
0.041,553.591113,572.115207,639.166064,639.401751,517.731369,666.411811,623.63926,598.545019,566.630201,572.932238,361.888896,407.50999,734.764817,793.76067,758.100615,804.289268,592.219509,476.861037,785.389905,833.216781,1000.3147,990.522049,733.54582,711.982533
0.042,543.419225,566.235025,635.659567,635.421928,511.657638,662.259824,616.460959,589.451335,563.613201,565.937117,356.784576,402.245051,732.699508,791.692219,755.082295,802.381751,589.032908,468.257078,783.164324,833.692789,1000.632262,990.681328,729.573657,712.459867
0.043,533.563404,558.127608,630.24355,632.239517,503.35817,658.911096,610.088585,581.46507,559.002438,559.579107,350.71921,398.101264,729.51976,791.850337,752.698104,802.064522,587.922806,460.124424,781.255651,832.897233,1000.474145,989.569367,727.826242,710.870574
0.044,524.981141,549.861412,626.586141,629.052585,498.247489,654.917376,603.380412,572.213616,555.345021,553.696777,345.450759,392.522111,728.09007,790.57827,749.676969,799.995409,585.687195,452.802558,779.506415,830.35211,999.679746,990.045541,724.649468,709.59801
0.045,515.122498,543.18716,623.23859,625.392824,490.902192,651.244727,594.609639,561.83899,552.322725,547.179323,338.906552,386.945807,725.07175,790.101433,745.067861,799.678843,582.662389,442.282553,778.873609,829.239486,999.20506,988.138523,721.311105,709.597017
0.046,506.698849,534.285512,617.499497,621.890683,482.766522,647.090056,586.638945,551.779241,547.872068,541.138877,332.370544,383.428758,722.528117,786.287058,742.206832,797.612214,579.317173,435.904497,774.740844,827.967093,997.614443,987.662678,717.974229,708.484393
0.047,496.366524,527.291715,614.153618,616.950162,475.414367,643.428291,580.097421,541.569591,543.582676,532.710923,327.745563,376.578884,719.665429,785.969826,738.709686,795.703041,577.409674,426.1854,772.039421,827.810632,998.568945,987.660857,714.796298,706.893938
0.048,486.191484,519.181485,609.37857,615.202769,467.914315,639.271781,571.640861,531.032342,539.924261,526.830248,321.520423,371.797475,715.852053,785.017809,736.642065,793.639557,574.061941,418.056936,770.293166,826.059406,999.363348,988.616352,710.347459,705.780158
0.049,476.971119,510.758002,603.970595,611.538833,461.206636,636.875718,563.983702,522.574259,536.267509,519.358787,315.615345,366.374253,714.740091,782.312758,733.780042,792.365504,570.722921,410.568612,767.42965,825.264846,996.502484,987.502739,707.487089,705.462099
0.05,466.323883,501.539122,598.701134,607.399071,454.016773,632.561936,555.844024,511.723641,531.658568,512.840836,310.189953,362.38406,712.355567,779.610012,728.05881,790.617099,567.532145,401.965647,766.476637,823.037283,997.934652,987.342636,704.945605,707.370115
0.051,455.988409,493.27409,594.240631,604.062718,447.474239,628.248319,546.273337,501.827525,526.252577,505.847539,304.612805,355.375075,707.589503,778.818427,726.788238,789.661766,563.867365,394.311005,761.867364,820.496131,996.981307,986.234318,701.611377,704.828796
0.052,445.499288,484.529897,590.417915,600.714835,440.133132,623.931357,538.613842,490.819966,523.866231,497.417765,298.707395,350.910712,705.681156,778.338612,722.337578,787.438511,562.11964,385.387979,761.073624,820.016812,997.140088,985.597542,698.271025,702.281687
0.053,436.435552,474.041436,584.049566,595.128327,431.986414,620.583458,530.488046,480.599101,518.301463,490.902132,293.595206,345.324701,703.613699,776.113699,717.88477,785.530163,559.254111,378.053067,757.893545,818.428675,996.186414,985.915263,695.572746,704.188872
0.054,428.172832,465.614145,579.754701,592.264636,425.278408,617.380788,522.180559,470.548064,513.849481,482.953501,287.851082,339.26621,701.388787,773.888949,714.547899,783.93872,556.226952,367.217176,754.873897,817.154788,995.233892,985.122852,690.64674,702.120753
0.055,416.408333,457.030555,574.487923,587.010912,417.136046,614.031051,513.565716,461.29141,509.079937,475.479889,281.31307,333.85069,697.892964,771.980438,709.939287,782.190972,553.355062,360.366126,751.855575,815.566489,995.393833,984.168019,687.31152,701.963294
0.056,406.074354,447.648594,567.796829,582.231175,410.593677,609.24227,505.272443,449.328503,504.627792,467.372311,275.41268,327.796208,695.030444,769.118084,706.123588,779.172325,549.539039,353.032888,749.151504,813.975539,993.643771,984.644526,683.974641,702.281023
0.057,396.697028,438.588997,563.333311,576.810637,403.244371,606.208419,495.228099,439.117013,500.334756,460.698561,270.622226,323.327836,691.53297,766.257056,702.148445,777.263976,546.517578,345.222149,746.132685,812.383431,993.645098,983.374451,680.955988,699.896
0.058,387.79588,429.368467,557.440623,573.784654,396.218473,602.53259,487.722696,427.93444,495.406433,453.385547,265.354438,317.586392,687.401035,766.099268,697.857894,774.085055,541.891769,336.933564,743.907603,810.636679,992.057788,981.309309,675.869708,700.850339
0.059,380.004868,418.719902,552.339484,568.524735,389.032966,595.985037,477.671992,420.44209,491.907135,444.641192,260.889579,312.804485,685.016676,763.55729,692.771621,772.177208,540.622886,328.328429,741.842462,809.523727,992.375846,981.943771,673.805064,700.372178
0.06,367.607402,412.20063,547.873117,564.062393,381.208662,592.948503,470.812908,408.157448,486.819205,434.945149,254.982827,306.26798,681.838088,761.48967,689.751313,769.315846,536.480772,321.949197,738.186862,806.979416,992.058289,980.195531,669.99234,699.892192
0.061,359.975335,402.503757,541.348837,558.804643,375.299559,588.63974,460.602926,398.260323,482.365401,429.060168,249.085452,301.167338,678.180674,758.62649,686.098202,766.454487,532.027292,315.258765,735.96112,805.709008,991.105438,980.673694,666.496683,699.575458
0.062,350.75497,393.604095,534.495616,552.592904,367.637215,585.606055,450.552552,387.250261,476.800964,420.159516,244.934624,295.422377,674.208679,755.44707,681.327996,763.275731,530.594279,306.494519,732.942135,804.118554,990.469488,979.878467,663.001357,699.893845
0.063,343.126045,384.066668,526.688225,547.322101,362.050194,580.174467,442.732604,378.954636,470.4413,410.304029,240.620511,289.527851,670.07459,751.948106,675.129431,760.732595,527.723399,297.876662,732.309164,802.687712,990.470151,978.767006,659.345761,698.303722
0.064,334.542126,374.847295,520.631572,543.34044,355.180069,575.704241,433.000801,366.197182,465.830043,402.039659,235.682657,283.945186,666.420488,749.723856,672.269395,759.93505,523.428865,290.552961,728.334348,799.824034,989.199078,978.766344,656.488704,701.005141
0.065,325.00188,366.581599,513.935127,535.691994,347.201838,573.144379,423.58303,357.096127,461.534026,393.771146,230.41689,278.047645,661.810555,746.544606,666.863903,755.962887,520.884905,284.328318,725.474644,797.28222,988.721743,977.01794,652.515874,700.209419
0.066,318.644202,357.836252,508.353969,531.227631,340.177281,567.71246,413.057327,346.243835,454.696035,385.662743,226.590149,271.992503,657.675141,743.206404,663.36941,752.30746,516.102667,275.07703,722.137417,797.438684,987.293217,976.701208,650.29096,700.369519
0.067,308.946011,349.890105,500.704182,523.890218,333.309997,563.564647,404.125935,336.831581,449.926329,377.875707,221.331394,267.844027,653.064882,740.343392,657.169352,748.014923,513.080528,268.549057,720.706901,795.373048,985.384206,974.634249,644.89043,700.847845
0.068,303.068475,339.558442,493.69402,519.426866,325.809432,558.929959,392.645066,324.710573,444.99751,369.768462,216.859676,262.74539,650.205012,737.641642,651.767831,744.835999,510.052541,261.539227,716.576619,793.467351,985.227748,973.521627,643.301961,701.960632
0.069,294.165009,331.610309,487.476583,512.09497,319.90235,553.657317,381.95071,314.97877,438.159684,361.341344,213.674913,256.683054,644.006114,735.098506,647.47579,741.660224,506.712013,253.720786,714.034637,791.082496,983.163101,973.83952,638.373804,702.117092
0.07,287.010944,323.183682,479.190515,504.76039,312.403971,548.23292,372.853845,304.135009,432.91198,351.645795,208.729705,250.464773,640.347709,731.280819,642.389683,738.476335,503.044565,248.143306,711.490832,789.968222,982.367543,972.408676,635.195381,704.024937
0.071,281.288054,315.395818,471.057529,499.504819,306.815442,543.917133,362.807663,294.405708,427.18777,343.381259,204.104392,246.48394,635.10464,729.694011,637.30291,735.935187,499.22503,240.490835,708.789412,787.902916,983.005809,972.56961,631.859163,705.45909
0.072,273.499364,308.877702,463.251976,491.533959,299.153264,538.96606,352.114151,286.110762,421.939737,334.477792,200.921303,240.421936,628.587687,724.606745,631.58085,731.327253,497.00181,234.585425,703.86423,785.516075,979.030336,969.389698,629.633756,706.409124
0.073,266.663189,300.450911,457.188796,484.507398,292.928455,536.724586,342.061939,274.947105,415.895978,325.892719,196.608696,235.006086,623.660193,723.175406,625.858293,728.148827,493.502668,228.373339,700.685802,783.7685,979.510487,968.59563,625.18525,707.044574
0.074,260.939804,290.913809,449.2186,478.134693,286.702139,530.812816,331.375285,266.175156,408.901192,316.991406,193.899098,230.536372,619.048938,719.20109,620.770032,725.128522,489.518505,221.52045,698.938058,781.065257,978.716085,967.800241,621.529987,707.998907
0.075,254.583946,283.599309,440.445979,469.844434,279.523988,525.38474,321.809783,255.334245,403.335267,310.315501,190.548362,225.279799,613.964152,715.545167,616.163243,721.950262,485.537838,215.141881,694.1705,780.43146,976.171127,966.689109,617.557821,707.999236
0.076,248.699797,276.2863,431.686586,462.030516,273.931782,520.431829,311.593606,245.761885,397.453764,299.982017,186.402388,220.334093,607.128648,712.841429,609.806558,716.705702,483.62899,209.239651,691.151348,779.477787,974.742763,964.781096,613.42539,708.636345
0.077,242.659677,268.816328,424.825,455.495353,267.551374,515.956252,303.142563,236.830161,389.819386,292.509232,182.740623,215.075681,602.359107,709.026892,604.561503,714.005606,479.488714,203.663513,689.086205,777.886171,973.153968,961.761121,610.882751,710.70082
0.078,236.461109,262.773232,416.854141,446.875657,261.79888,510.8464,291.498392,227.745008,383.616021,282.97114,178.116154,211.088156,597.432608,702.508282,599.316446,709.871018,475.348786,198.080849,684.955262,775.184919,972.201117,959.375459,606.749158,711.496209
0.079,230.897665,255.303426,409.205695,440.494751,254.939465,506.208199,281.129133,218.811777,377.576402,275.182615,174.292097,205.988523,590.118771,699.647251,593.279143,705.420032,473.123214,191.864571,681.140883,774.546152,970.453371,957.786162,603.094891,711.812773
0.08,224.377732,249.262979,400.589013,431.562017,247.441086,499.981718,270.604093,210.362904,371.374858,267.0757,170.628493,202.006862,585.034815,695.831391,588.033092,701.289916,470.2607,186.598291,678.280844,772.799238,969.182962,954.926626,598.806822,713.085003
0.081,220.085689,242.426144,391.981873,423.271427,241.703483,496.461654,261.673379,203.345553,363.104363,260.560069,167.28177,197.699772,578.200291,692.494517,581.357192,697.951552,463.887165,181.661116,675.737872,771.049673,966.797943,952.70006,593.400837,712.287128
0.082,214.838812,234.95187,382.729409,415.458669,234.840224,490.083085,251.13714,194.100626,356.902155,251.656111,163.771082,193.713091,573.588703,687.248639,574.68377,694.615339,462.131739,176.561815,672.563086,769.778936,963.937079,951.110599,591.972971,712.765122
0.083,209.593921,228.594192,375.875345,407.9613,231.164892,486.715606,242.212772,187.401995,349.906873,244.185808,159.464339,188.774575,568.027411,683.590564,570.552663,691.435258,457.523338,171.618611,670.494634,768.505876,962.825117,948.249738,588.633778,713.084009
0.084,204.664773,223.507919,367.111098,399.346292,224.464256,480.490797,234.389809,178.958656,343.387604,237.189528,155.492385,184.632626,560.714901,680.092589,564.671325,686.509085,454.49401,167.791373,666.52247,766.598357,961.236318,945.866539,583.228123,713.242626
0.085,201.485354,217.944643,359.776021,392.328941,219.034839,475.541232,224.988434,172.737691,336.551931,229.558958,152.129428,181.28206,554.83555,673.575639,559.588855,683.48944,449.876565,164.919815,663.662267,764.532225,959.967562,943.163134,581.960366,713.878078
0.086,195.127677,210.94969,351.959916,384.352383,212.6541,470.1088,216.048179,165.405798,329.553335,221.930701,149.902862,176.821722,548.795928,668.648644,553.229522,678.565256,448.445225,161.895505,660.483673,764.691504,958.855603,940.77944,577.825116,711.9694
0.087,191.307341,207.610335,342.06867,375.097914,207.227863,464.831803,209.196632,158.388945,322.399104,214.457754,147.19661,173.793057,544.347757,662.926588,547.030455,673.795547,445.582876,156.158914,657.623967,763.577722,955.201167,937.44207,575.123698,712.126029
0.088,187.654562,200.932282,334.260765,366.813685,201.807325,458.600467,200.904866,151.532544,315.880333,208.733871,144.171969,169.167413,537.829478,657.361491,541.944678,669.505824,440.967949,152.172235,656.036989,761.987104,953.45392,934.581706,572.583201,711.489254
0.089,183.521468,195.368674,327.565315,359.62851,197.174475,453.489605,191.97682,145.309921,307.769117,201.739083,140.502004,166.936324,531.949961,652.275218,535.748098,666.963513,438.424486,150.736539,654.129472,760.876304,951.227511,931.719849,570.196861,709.262186
0.09,179.387049,190.918678,319.113096,351.177633,192.387036,449.332929,185.589222,138.457695,300.456272,196.969547,137.799264,161.835682,527.976641,647.190104,530.186803,662.038168,435.709206,144.838832,651.746769,759.762193,948.36582,929.175887,567.811845,710.056423
0.091,175.570354,185.512526,311.94316,342.564795,188.553765,443.097238,176.028408,132.56032,293.936012,190.132214,133.654979,157.211214,520.983342,641.783787,523.827963,658.700465,433.964828,142.134252,648.090512,758.33201,946.777684,925.521123,565.270031,710.374147
0.092,171.278315,180.264495,302.851149,334.8971,184.567913,438.142989,169.806614,127.93451,285.828103,184.408996,130.784927,154.505127,515.262111,636.535755,518.742846,653.138177,428.711103,139.42482,647.296774,757.694574,945.029112,920.751416,563.996643,708.30537
0.093,169.690344,178.040076,294.875767,326.291965,176.435424,432.71223,164.697275,121.561639,277.079777,178.685615,128.551835,151.154561,509.065692,630.337854,514.294342,649.80213,425.999832,135.597416,643.958739,755.945007,941.374675,918.526834,560.819379,708.306364
0.094,164.920144,173.272191,288.021205,318.470509,174.516364,427.442437,157.047984,117.578304,269.926543,173.2788,125.049512,148.130417,504.776299,625.41086,507.459828,645.192361,424.888056,133.365318,642.370769,754.038645,939.944328,914.872232,558.433864,706.394705
0.095,163.172896,168.34354,280.365554,311.926302,168.932192,421.057507,151.146931,113.271049,262.612209,168.510585,121.704297,143.18655,499.05391,619.686813,501.897539,642.330831,420.432075,129.858655,640.305628,755.151103,937.878853,911.215978,557.004013,705.757435
0.096,158.720089,164.20846,272.871531,302.837803,164.298679,415.936606,143.970634,107.37518,255.776534,163.104101,120.587502,140.321684,493.808026,613.806638,497.289093,637.723546,419.956082,126.672385,637.76431,753.400546,935.018817,907.401605,556.368724,703.851738
0.097,154.423909,159.597536,266.651079,295.332897,162.545754,410.985202,138.231194,104.186227,249.094177,158.3339,118.042878,138.082893,486.816381,607.291672,492.205136,635.022288,416.455267,124.443301,636.967758,752.765593,933.430681,902.950123,553.507201,703.054855
0.098,153.154661,155.306324,258.998276,287.526168,158.557898,405.387132,133.607388,99.081743,240.988256,152.450908,114.530516,135.535586,482.209596,600.933165,486.481923,629.779879,413.269842,121.569738,635.061067,752.447371,929.613328,899.613083,553.188648,702.57653
0.099,150.451089,151.650401,253.094871,281.299189,154.724465,397.882227,125.62649,95.889775,234.468655,147.206184,112.627359,132.983095,476.805097,596.640134,480.922948,626.282073,411.833814,120.144411,633.154871,751.017189,926.754781,894.846685,551.440408,700.669176
0.1,147.271506,148.785731,245.753098,272.839433,151.533673,392.767521,120.689481,91.276522,227.313265,141.162759,109.443274,129.160711,470.13118,588.692334,475.675246,621.356566,409.777574,116.79184,631.565908,751.176798,923.891435,890.23493,550.646841,698.760333
0.101,145.045931,145.129807,239.065516,266.941726,147.696564,386.541039,114.62814,89.360476,218.568583,137.029007,106.402731,128.203359,464.56972,583.290653,471.701759,619.133139,405.948497,116.000127,630.136553,749.743139,921.509561,886.579834,549.852604,697.806823
0.102,141.547463,141.314608,233.168306,259.44184,144.668229,379.987124,110.32239,84.90047,211.729434,133.05254,104.655338,124.221531,457.416821,576.77304,465.027346,613.889403,404.197592,112.489273,627.435132,749.901922,919.601543,881.810292,548.579049,696.215707
0.103,139.004656,138.134198,229.335883,252.742878,142.271669,374.716487,105.062305,83.308677,205.210987,129.237671,101.31163,120.7152,453.128421,570.731926,461.054686,611.030525,401.491008,110.725315,626.003789,749.741985,916.902607,877.997406,547.465931,694.785691
0.104,135.665797,134.635067,221.364858,247.157861,138.758132,368.485988,98.682578,79.314293,198.215044,125.261042,100.034216,118.963616,446.929026,565.964543,456.923743,605.783812,399.900723,109.308867,625.05309,748.629695,914.041577,872.748378,546.19304,694.305047
0.105,132.486876,132.248725,215.616886,239.022373,133.819616,362.416614,96.130583,76.93062,191.537157,120.968175,97.484574,116.095571,440.256598,559.447425,452.155857,601.971092,397.511699,105.153367,622.190568,747.515253,909.749701,867.346859,545.877464,692.715587
0.106,130.736981,127.960661,210.837647,232.958681,132.699459,358.10014,91.821489,75.02193,185.65284,116.673817,95.575552,114.504954,435.328937,553.567743,447.706855,597.364631,395.439888,104.519423,622.0351,747.195375,907.047452,864.805214,544.602586,690.489678
0.107,128.194176,126.049171,205.733658,226.580459,129.985504,352.02959,87.205718,73.105387,178.340984,114.131178,93.668882,111.630215,430.086863,547.049799,441.826181,592.75503,392.895596,102.924449,622.032121,745.923642,903.23324,859.240444,543.968127,689.377718
0.108,126.285825,122.395396,201.272145,220.992096,127.273056,344.841565,82.7422,70.718865,173.092782,111.747321,90.956103,107.97163,425.159033,540.852558,438.489967,589.099431,392.585407,99.421631,619.013794,745.923979,901.168102,855.109338,543.331015,686.990878
